category,sub_category,href,items,price
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/nails/3146,Flormar Quick Dry Nail Enamel QD20 Rose Taboo 11 ml,190.0
Electronics,Computers,https://www.jiomart.com/c/electronics/computers/toners-ink-cartridges/755,"EPSON T7741 Ink Bottle, Black",659.0
Electronics,Home Appliances,https://www.jiomart.com/c/electronics/home-appliances/fans/1347,Venus Vector Hi Speed Ceiling Fan V1200 ( White),1841.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Bal Gopal Ovel Gold 24 KT (999) 4 GM Coin,21554.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/bluetooth-wifi-speakers/2908,"Zebronics Zeb-Rocket Portable Bluetooth Wireless Speaker with AUX, USB, In-built FM radio",1699.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/batteries-power-banks/779,"EVM Enlarge 30000 mAh Power Bank, P0100",3399.0
Beauty,Personal Care,https://www.jiomart.com/c/beauty/personal-care/body-care/3271,mCaffeine Naked & Raw Moisturizing Coffee Body Lotion 200 ml,356.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Swastik Round Gold 24 KT (999) 4 GM Coin,21554.0
Electronics,Cameras,https://www.jiomart.com/c/electronics/cameras/digital-camera-accessories/770,Hanumex UV Protection Lens Filter (52 mm),135.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/men/3221,Maryaj Deuce Homme EDP Spicy Woody Perfume And Ajmal Carbon Homme Deodorant Citrus Spicy Fragrance 300 ml,819.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/bags-belts-wallets/528,MarkQues Men's Watch and Genuine Leather Wallet Combo Gift Set for Men (BON-770909-VIN-4401),649.0
Electronics,Cameras,https://www.jiomart.com/c/electronics/cameras/photo-studio-lighting/6226,Viblitz Black Camera Belt,1799.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/footwear/1483,PEACH MS-4,299.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/eye-care/3212,O-Lens Spanish 1Day Coloured Contact Lenses - Grey ( 0.00 ) 1's,1235.0
Fashion,Boys,https://www.jiomart.com/c/fashion/boys/ethnic-wear/598,BownBee Boys Green Printed Cotton Blend Kurta Sets,699.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Laxmi-Ganesh Gold 24 KT (999) 10 GM Coin,55185.0
Electronics,TV & Speaker,https://www.jiomart.com/c/electronics/tv-speaker/tv-audio-accessories/747,Apple MU7E2ZM/A USB-C to 3.5 mm Headphone Jack Adapter,900.0
Electronics,Computers,https://www.jiomart.com/c/electronics/computers/computer-accessories/734,SellZone Charger Adapter For Laptop Accer Spin 3,844.0
Electronics,Computers,https://www.jiomart.com/c/electronics/computers/computer-accessories/734,SellZone Replacement Laptop Battery For Hp Pavilion Dv6-3050Tx(VIKBATTG0H01027),1994.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/western-wear/510,Striped Dungaree Dress,699.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Shree Round Gold 24 KT 999 2 GM Coin,11038.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 5.51 gm Lakshmi Ganesh Silver Idol,1483.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Shree Round Gold 24 KT (999) 4 GM Coin,21554.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/watches/4121,SWADESI STUFF Analogue White Dail Watch For Women- (SDS 127 $),284.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/unisex/3176,Ajmal Kuro EDP Aromatic Spicy Perfume And Blu Femme EDP Floral Woody Perfume 140 ml,2350.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/clothing-accessories/513,GFB Women Multicolor 100 Percent Silk Printed Stoles Scarf,1799.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/fashion-jewellery/2292,Nakabh Elegant Box Linked Collection Golden Silver Dual Plated Stainless Steel Necklace Chain for Boys Men,236.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/western-wear/504,Hangup Men's Blazer Polyester Viscose Regular Checkered D942ButtonBlazer,1919.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/night-loungewear/3962,Pearl Night Wears Womens Purple Alpine Nighty - XL,1029.0
Electronics,Kitchen Appliances,https://www.jiomart.com/c/electronics/kitchen-appliances/electric-flour-mills/5514,"Mycrofine Superstar Plus Chocolate Strawberry Flour Mill with Smart I-Sensor Technology, Child Safety Door Switch",19490.0
Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/mobile-cases-protectors/768,"Inclu For Vivo V5 plus Waterproof, Artificial Leather, Scratch Resident, Magnetic Lock Holster Case",349.0
Electronics,Computers,https://www.jiomart.com/c/electronics/computers/computer-accessories/734,SellZone Laptop Charger Adapter For Dell La65Ns2-00 65W,797.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/eyes/3148,Fashion Colour Normal Eyelashes 1's,128.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/eyewear/2297,PEKUNIARY Full Rim UV Protection Aviator Sunglasses For Men & Women - (Black lens),184.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,House Of Makeup Good On You Hydra Matte Lipstick - Pinkie Swear 3.5 gm,509.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,Faces Canada Ultime Pro Longstay Liquid Matte Lipstick Ravishing Wine 18 6 gm,519.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/night-loungewear/3962,ZEBU Women Multicolor Abstract 100% Cotton Pack of 2 Capris,689.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/fashion-jewellery/2285,Memoir Silver Plated Brass Free Size Ring (Women),299.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-coin/1534,Reliance Jewels RL 50 GM Silver (999) Coin,3652.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/ethnic-wear/534,Sanwara Men Green Art Silk Self Design Kurta and Pyjama Set,2099.0
Beauty,Wellness,https://www.jiomart.com/c/beauty/wellness/health-supplements/4761,Sri Sri Tattva Deva Vati 500 mg Tablet 60's,142.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/women/3192,Maryaj M For Her EDP Fruity Floral Perfume And Maryaj Goldie EDP Fruity Floral Perfume 190 ml,1255.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,"Fashion Colour Kiss Lip No Transfer Lipstick, 94 Bordeaux 2.6 gm",284.0
